"R.Condition","R.Replicate","TMC5B_HUMAN","KRT16_MOUSE","TCPR2_HUMAN","PIP_HUMAN","A0A7I2PK40_HUMAN","NBDY_HUMAN","H0Y5R1_HUMAN"
"100pmol","1",8.61042011532349,10.5109614814773,14.2011179306608,6.42071629817373,10.3704495144989,NA,NA
"100pmol","2",8.71051779201782,NA,10.6813370527816,6.76439323015764,10.5109614814773,NA,NA
"100pmol","3",8.61042011532349,NA,14.1788086596028,NA,10.6253039581928,9.24466876250537,NA
"100pmol","4",8.61042011532349,NA,14.4400544179407,NA,10.3704495144989,9.72721052033234,9.57418490565289
"200pmol","1",8.47649300913633,10.7408820740926,13.7000168214645,6.00458640382546,11.0570428839834,NA,9.50453933633778
"200pmol","2",8.47649300913633,NA,14.1306676010039,NA,9.82723179655234,10.0366505768884,9.65838365023682
"200pmol","3",8.78253081522355,10.7408820740926,NA,NA,10.556022556045,9.6415866164635,9.50453933633778
"200pmol","4",9.01207193367352,NA,NA,NA,9.82723179655234,NA,9.50453933633778
"50pmol","1",NA,NA,14.1306676010039,10.0366505768884,NA,NA,NA
"50pmol","2",NA,NA,14.6868858178876,7.80629074421547,NA,NA,NA
"50pmol","3",9.23235767356928,11.0786418884994,9.82723179655234,7.6089249346249,NA,NA,NA
"50pmol","4",8.7857227438197,NA,14.3606345573324,7.3321258965175,NA,NA,NA
