"PG.Genes","PG.ProteinAccessions","PG.ProteinDescriptions","PG.ProteinNames"
"CDK1","A0A024QZP7;P06493","Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a;Cyclin-dependent kinase 1","A0A024QZP7_HUMAN;CDK1_HUMAN"
"GRAMD1B","A0A024R3M2;A0A1B0GUD6;A0A1B0GWG7;A0A2R8Y5X2;Q3KR37","HCG39893, isoform CRA_a;Protein Aster-B;Protein Aster-B;Protein Aster-B;Protein Aster-B","A0A024R3M2_HUMAN;A0A1B0GUD6_HUMAN;A0A1B0GWG7_HUMAN;A0A2R8Y5X2_HUMAN;ASTRB_HUMAN"
"HDLBP","A0A024R4E5","High density lipoprotein binding protein (Vigilin), isoform CRA_a","A0A024R4E5_HUMAN"
"TMEM120A","A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8","Ion channel TACAN;Ion channel TACAN (Fragment);Ion channel TACAN;Ion channel TACAN","A0A024R4K9_HUMAN;A0A087WZA9_HUMAN;A0A087X266_HUMAN;TACAN_HUMAN"
"EHD1","A0A024R571;Q9H4M9","EH domain-containing protein 1","A0A024R571_HUMAN;EHD1_HUMAN"
"ELOF1","A0A024R7E8;K7EMV4;K7EN05;K7EPC8;K7EQ44;P60002","Transcription elongation factor 1 homolog","A0A024R7E8_HUMAN;K7EMV4_HUMAN;K7EN05_HUMAN;K7EPC8_HUMAN;K7EQ44_HUMAN;ELOF1_HUMAN"
"PSMA2","A0A024RA52;P25787","Proteasome subunit alpha type;Proteasome subunit alpha type-2","A0A024RA52_HUMAN;PSA2_HUMAN"
"NUDT4B;NUDT4","A0A024RBG1;Q9NZJ9","Diphosphoinositol polyphosphate phosphohydrolase NUDT4B;Diphosphoinositol polyphosphate phosphohydrolase 2","NUD4B_HUMAN;NUDT4_HUMAN"
"SLC22A18","A0A024RCG2;Q96BI1","Solute carrier family 22 (Organic cation transporter), member 18, isoform CRA_a;Solute carrier family 22 member 18","A0A024RCG2_HUMAN;S22AI_HUMAN"
"ZSCAN26","A0A024RCN4;A0A087X2F1;Q16670","Zinc finger and SCAN domain-containing protein 26","A0A024RCN4_HUMAN;A0A087X2F1_HUMAN;ZSC26_HUMAN"
"PPT2","A0A024RCQ8;A0A0G2JH76;A0A140T8X7;Q9UMR5","HCG1999928, isoform CRA_a;Lysosomal thioesterase PPT2;Lysosomal thioesterase PPT2;Lysosomal thioesterase PPT2","A0A024RCQ8_HUMAN;A0A0G2JH76_HUMAN;A0A140T8X7_HUMAN;PPT2_HUMAN"
"BAG6","A0A024RCR6;A0A0G2JK23;A0A7I2V508;A0A7P0MQS5;P46379","Large proline-rich protein BAG6","A0A024RCR6_HUMAN;A0A0G2JK23_HUMAN;A0A7I2V508_HUMAN;A0A7P0MQS5_HUMAN;BAG6_HUMAN"
"ATP11C","A0A067XG54;A0A804HIW2;Q8NB49","Phospholipid-transporting ATPase;Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG","A0A067XG54_HUMAN;A0A804HIW2_HUMAN;AT11C_HUMAN"
"VGLL4","A0A075B6E4;A0A0A6YYI5;G5E9M7;Q14135","Transcription cofactor vestigial-like protein 4","A0A075B6E4_HUMAN;A0A0A6YYI5_HUMAN;G5E9M7_HUMAN;VGLL4_HUMAN"
"NOSIP","A0A075B6F9","Nitric oxide synthase-interacting protein","A0A075B6F9_HUMAN"
"NDUFAF6","A0A075B6P0;Q330K2","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6;NADH dehydrogenase (ubiquinone) complex I, assembly factor 6","A0A075B6P0_HUMAN;NDUF6_HUMAN"
"AMBRA1","A0A075B6T1;Q9C0C7","Activating molecule in BECN1-regulated autophagy protein 1","A0A075B6T1_HUMAN;AMRA1_HUMAN"
"KBTBD4","A0A075B6T4;Q9NVX7","Kelch repeat and BTB domain-containing protein 4","A0A075B6T4_HUMAN;KBTB4_HUMAN"
"PPIAL4E;PPIAL4F;PPIAL4D;PPIAL4F","A0A075B759;A0A0H2UH34;F5H284;P0DN26","Peptidyl-prolyl cis-trans isomerase A-like 4E;Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase A-like 4D;Peptidyl-prolyl cis-trans isomerase A-like 4F","PAL4E_HUMAN;A0A0H2UH34_HUMAN;PAL4D_HUMAN;PAL4F_HUMAN"
"PEX12","A0A075B773;O00623","Peroxisome assembly protein 12","A0A075B773_HUMAN;PEX12_HUMAN"
"LAMA3","A0A075B783;A0A0A0MSA0;Q16787","Laminin subunit alpha-3","A0A075B783_HUMAN;A0A0A0MSA0_HUMAN;LAMA3_HUMAN"
"IKBKE","A0A075B7B4;Q14164","Inhibitor of nuclear factor kappa-B kinase subunit epsilon","A0A075B7B4_HUMAN;IKKE_HUMAN"
"PSG7;PSG7;PSG6;PSG5;PSG5;PSG6;PSG5;PSG6;PSG7;PSG5","A0A087WT09;A0A096LNM5;B5MCE1;E7EQY3;E9PC55;M0QZA7;M0R1G9;Q00889;Q13046;Q15238","Putative pregnancy-specific beta-1-glycoprotein 7;Putative pregnancy-specific beta-1-glycoprotein 7;Pregnancy-specific beta-1-glycoprotein 6;Pregnancy-specific beta-1-glycoprotein 5;Pregnancy-specific beta-1-glycoprotein 5;Pregnancy-specific beta-1-glycoprotein 6 (Fragment);Pregnancy-specific beta-1-glycoprotein 5;Pregnancy-specific beta-1-glycoprotein 6;Pregnancy-specific beta-1-glycoprotein 7;Pregnancy-specific beta-1-glycoprotein 5","A0A087WT09_HUMAN;A0A096LNM5_HUMAN;B5MCE1_HUMAN;E7EQY3_HUMAN;E9PC55_HUMAN;M0QZA7_HUMAN;M0R1G9_HUMAN;PSG6_HUMAN;PSG7_HUMAN;PSG5_HUMAN"
"ALG13","A0A087WT15","N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase","A0A087WT15_HUMAN"
"DCAF13","A0A087WT20;Q9NV06","DDB1- and CUL4-associated factor 13","A0A087WT20_HUMAN;DCA13_HUMAN"
"UBXN8","A0A087WT23;A0A087WUA4;A0A087WV67;O00124","UBX domain-containing protein 8","A0A087WT23_HUMAN;A0A087WUA4_HUMAN;A0A087WV67_HUMAN;UBXN8_HUMAN"
"NOPCHAP1","A0A087WT30;Q8N5I9","NOP protein chaperone 1","A0A087WT30_HUMAN;NOPC1_HUMAN"
"SLC1A3","A0A087WT87;A0A087X0U3;A0A7P0TAG7;P43003","Amino acid transporter;Amino acid transporter;Amino acid transporter;Excitatory amino acid transporter 1","A0A087WT87_HUMAN;A0A087X0U3_HUMAN;A0A7P0TAG7_HUMAN;EAA1_HUMAN"
"HTD2","A0A087WTC8;P86397","Hydroxyacyl-thioester dehydratase type 2, mitochondrial (Fragment);Hydroxyacyl-thioester dehydratase type 2, mitochondrial","A0A087WTC8_HUMAN;HTD2_HUMAN"
"BCL2L13","A0A087WTL4","Bcl-2-like protein 13","A0A087WTL4_HUMAN"
"ALG13","A0A087WTT9;A0A087WX43;A0A096LNJ4;A0A096LPI3;A0A1B0GVW6;D6RE84;Q9NP73","N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase;N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase;N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase;Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13;Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13;N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase;Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13","A0A087WTT9_HUMAN;A0A087WX43_HUMAN;A0A096LNJ4_HUMAN;A0A096LPI3_HUMAN;A0A1B0GVW6_HUMAN;D6RE84_HUMAN;ALG13_HUMAN"
"KCNIP1","A0A087WTU8;A0A0A0MS16;A0A1B0GTZ7;Q9NZI2","Kv channel-interacting protein 1","A0A087WTU8_HUMAN;A0A0A0MS16_HUMAN;A0A1B0GTZ7_HUMAN;KCIP1_HUMAN"
"ALMS1","A0A087WTU9;A0A087WV20;A0A804HIB7;A0A804HJA5;A0A804HJW3;A0A804HKC0;A0A804HKP4;A0A804HL70;Q8TCU4","Centrosome-associated protein ALMS1;Centrosome-associated protein ALMS1;Centrosome-associated protein ALMS1 (Fragment);Centrosome-associated protein ALMS1 (Fragment);Centrosome-associated protein ALMS1 (Fragment);Centrosome-associated protein ALMS1 (Fragment);Centrosome-associated protein ALMS1 (Fragment);Centrosome-associated protein ALMS1 (Fragment);Centrosome-associated protein ALMS1","A0A087WTU9_HUMAN;A0A087WV20_HUMAN;A0A804HIB7_HUMAN;A0A804HJA5_HUMAN;A0A804HJW3_HUMAN;A0A804HKC0_HUMAN;A0A804HKP4_HUMAN;A0A804HL70_HUMAN;ALMS1_HUMAN"
"PYCR2","A0A087WTV6;Q96C36","pyrroline-5-carboxylate reductase;Pyrroline-5-carboxylate reductase 2","A0A087WTV6_HUMAN;P5CR2_HUMAN"
"CASP8AP2","A0A087WTW5;Q9UKL3","CASP8-associated protein 2 (Fragment);CASP8-associated protein 2","A0A087WTW5_HUMAN;C8AP2_HUMAN"
"HNRNPDL","A0A087WU03","Heterogeneous nuclear ribonucleoprotein D-like","A0A087WU03_HUMAN"
"MICOS10","A0A087WU07;Q5TGZ0","MICOS complex subunit MIC10","A0A087WU07_HUMAN;MIC10_HUMAN"
"CD9","A0A087WU13;A0A2R8Y478;A0A7I2V3T0;A0A7I2V3T7;A6NNI4;F5GXT1;G8JLH6;P21926","Tetraspanin;CD9 antigen;CD9 antigen;Tetraspanin;CD9 antigen;Tetraspanin;Tetraspanin;CD9 antigen","A0A087WU13_HUMAN;A0A2R8Y478_HUMAN;A0A7I2V3T0_HUMAN;A0A7I2V3T7_HUMAN;A6NNI4_HUMAN;F5GXT1_HUMAN;G8JLH6_HUMAN;CD9_HUMAN"
"CLCN3","A0A087WU31;P51790","Chloride channel protein;H(+)/Cl(-) exchange transporter 3","A0A087WU31_HUMAN;CLCN3_HUMAN"
"MAGT1","A0A087WU53;A0A8I5KYH1;Q9H0U3","Magnesium transporter protein 1","A0A087WU53_HUMAN;A0A8I5KYH1_HUMAN;MAGT1_HUMAN"
"PTBP1","A0A087WU68","Polypyrimidine tract-binding protein 1 (Fragment)","A0A087WU68_HUMAN"
