"PG.Genes","PG.ProteinAccessions","PG.ProteinDescriptions","PG.ProteinNames"
"ELOF1","A0A024R7E8","Transcription elongation factor 1 homolog","A0A024R7E8_HUMAN"
"NUDT4B;NUDT4","A0A024RBG1","Diphosphoinositol polyphosphate phosphohydrolase NUDT4B;Diphosphoinositol polyphosphate phosphohydrolase 2","NUD4B_HUMAN"
"NOSIP","A0A075B6F9","Nitric oxide synthase-interacting protein","A0A075B6F9_HUMAN"
"PPIAL4E;PPIAL4F;PPIAL4D;PPIAL4F","A0A075B759","Peptidyl-prolyl cis-trans isomerase A-like 4E;Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase A-like 4D;Peptidyl-prolyl cis-trans isomerase A-like 4F","PAL4E_HUMAN"
"IKBKE","A0A075B7B4","Inhibitor of nuclear factor kappa-B kinase subunit epsilon","A0A075B7B4_HUMAN"
"PSG7;PSG7;PSG6;PSG5;PSG5;PSG6;PSG5;PSG6;PSG7;PSG5","A0A087WT09","Putative pregnancy-specific beta-1-glycoprotein 7;Putative pregnancy-specific beta-1-glycoprotein 7;Pregnancy-specific beta-1-glycoprotein 6;Pregnancy-specific beta-1-glycoprotein 5;Pregnancy-specific beta-1-glycoprotein 5;Pregnancy-specific beta-1-glycoprotein 6 (Fragment);Pregnancy-specific beta-1-glycoprotein 5;Pregnancy-specific beta-1-glycoprotein 6;Pregnancy-specific beta-1-glycoprotein 7;Pregnancy-specific beta-1-glycoprotein 5","A0A087WT09_HUMAN"
"HTD2","A0A087WTC8","Hydroxyacyl-thioester dehydratase type 2, mitochondrial (Fragment);Hydroxyacyl-thioester dehydratase type 2, mitochondrial","A0A087WTC8_HUMAN"
"BCL2L13","A0A087WTL4","Bcl-2-like protein 13","A0A087WTL4_HUMAN"
"KCNIP1","A0A087WTU8","Kv channel-interacting protein 1","A0A087WTU8_HUMAN"
"ALMS1","A0A087WTU9","Centrosome-associated protein ALMS1;Centrosome-associated protein ALMS1;Centrosome-associated protein ALMS1 (Fragment);Centrosome-associated protein ALMS1 (Fragment);Centrosome-associated protein ALMS1 (Fragment);Centrosome-associated protein ALMS1 (Fragment);Centrosome-associated protein ALMS1 (Fragment);Centrosome-associated protein ALMS1 (Fragment);Centrosome-associated protein ALMS1","A0A087WTU9_HUMAN"
"HNRNPDL","A0A087WU03","Heterogeneous nuclear ribonucleoprotein D-like","A0A087WU03_HUMAN"
